testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002015674,0.000074677,0.002005867,0.000013262,469,1
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007127941,0.000058204,0.007129135,0.000065963,138,1
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.18e-7,4.3e-8,4.14e-7,4e-9,111521,20
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.736e-6,6.41e-7,4.679e-6,5.1e-8,115527,1
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.17e-7,4.2e-8,4.14e-7,9e-9,111907,20
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.551e-6,1.048e-6,4.398e-6,7e-8,103221,1
ubuntu-latest,2025-03-03T20:05:08.769464+00:00,02c353e4e021bf2a15876356e42e05adff7e23d3,main,2025-03-03T20:03:36+00:00,2025-03-03T20:03:36+00:00,3.9.21,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.226362683,0.008145809,0.224592932,0.006976338,5,1
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002040574,0.000015937,0.002037916,9.789e-6,456,1
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007312345,0.00017597,0.007304116,0.000103634,138,1
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.22e-7,4.8e-8,4.16e-7,3e-9,110534,20
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.763e-6,6.32e-7,4.708e-6,6.1e-8,109927,1
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.34e-7,1e-7,4.29e-7,4e-9,106872,20
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.844e-6,6.71e-7,4.779e-6,6e-8,110902,1
ubuntu-latest,2025-03-03T20:10:57.302565+00:00,022299597ca1e90fb926914f491b547487504558,main,2025-03-03T20:09:33+00:00,2025-03-03T20:09:33+00:00,3.9.21,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.211225692,0.002753813,0.209917176,0.002770886,5,1
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002235382,0.00034994,0.002026731,0.000435987,468,1
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007423542,0.001050433,0.007102998,0.000114518,84,1
