testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002044765,0.000025646,0.002036642,0.000037981,463,1
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.00742037,0.000103976,0.007413588,0.000044117,134,1
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.27e-7,5.2e-8,4.2e-7,3e-9,109806,20
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.944e-6,8.36e-7,4.829e-6,8e-8,104308,1
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.15e-7,4.4e-8,4.19e-7,1.3e-8,109326,20
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.996e-6,6.54e-7,4.939e-6,6e-8,111657,1
ubuntu-latest,2025-03-03T12:54:27.374001+00:00,a7919f7f0c3a1636ee35095999257c0ad8319953,main,2025-03-03T12:52:51+00:00,2025-03-03T12:05:42+00:00,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.211048233,0.003584765,0.209178296,0.005682598,5,1
ubuntu-latest,2025-03-03T13:17:53.396540+00:00,4692d5f4a8874eb13e95e2cee419432a7d9b63ce,main,2025-03-03T13:16:23+00:00,2025-03-03T13:11:45+00:00,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002012492,0.000014812,0.002007579,0.000015519,470,1
ubuntu-latest,2025-03-03T13:17:53.396540+00:00,4692d5f4a8874eb13e95e2cee419432a7d9b63ce,main,2025-03-03T13:16:23+00:00,2025-03-03T13:11:45+00:00,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007266778,0.000051745,0.007256416,0.000054532,133,1
ubuntu-latest,2025-03-03T13:17:53.396540+00:00,4692d5f4a8874eb13e95e2cee419432a7d9b63ce,main,2025-03-03T13:16:23+00:00,2025-03-03T13:11:45+00:00,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.18e-7,4.1e-8,4.14e-7,5e-9,106068,20
